STATE/UT,YEAR,Population (Million) ,Literacy rates,Area(km²),MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes In the state
 Assam,2013,31.2,72.19%,78438,1191,485,1095,1628,1351,277,471,523,2606,5525,406,5119,3340,611,894,677,4952,60,878,2086,9227,38195,81597
 Bihar,2013,104.1,61.80%,94163,3771,3540,985,2427,674,1753,1221,2463,2986,10124,1357,8767,8029,1105,1947,669,8884,909,688,2574,37503,92263,194639
 Chhattisgarh,2013,25.5,71.04%,135192,776,513,898,177,149,28,140,331,3621,4170,922,3248,703,76,412,151,3653,79,1481,1158,19315,38449,80450
 Goa,2013,1.5,88.70%,3702,34,25,31,14,13,1,5,21,257,464,132,332,47,60,106,18,198,2,19,164,739,2244,4926
 Gujarat,2013,60.4,79.31%,196024,1114,478,236,1044,859,185,338,1267,5844,19304,7201,12103,1824,1873,1975,516,12611,54,722,3536,46879,103709,223672
 Haryana,2013,25.4,76.64%,44212,702,446,353,388,271,117,63,281,2981,5591,3079,2512,639,586,900,122,4153,222,344,971,16654,38612,79987
 Himachal Pradesh,2013,6.9,82.80%,55673,125,74,126,113,96,17,8,19,707,627,218,409,610,63,130,121,1385,6,250,463,6937,12011,24515
 Jammu & Kashmir,2013,12.5,68.74%,42241,929,1216,211,712,615,97,23,154,1526,1949,576,1373,1167,116,408,328,310,10,875,378,10424,21233,44630
 Jharkhand,2013,32.9,67.63%,79716,1482,957,712,487,262,225,702,864,1468,4155,564,3591,2481,265,479,147,3062,262,424,642,12902,32203,68336
 Karnataka,2013,61.1,75.36%,191791,1506,1241,321,531,244,287,220,861,6055,14180,4296,9884,5784,495,2752,415,21913,194,1585,172,52143,112405,237484
 Kerala,2013,33.4,93.91%,38863,435,448,394,189,102,87,142,634,4409,4891,1668,3223,6798,323,3061,413,17696,33,1947,35,53487,98824,199239
 Madhya Pradesh,2013,72.6,70.63%,308252,2227,2413,2738,887,608,279,153,1578,12884,20422,5262,15160,2729,549,1222,868,29358,648,6848,3778,97751,191078,399440
 Maharashtra,2013,112.4,82.34%,307713,2772,1412,1268,926,626,300,514,2096,13892,37098,9271,27827,5714,1561,5005,1188,29205,368,2661,9378,42491,164306,359879
 Manipur,2013,2.8,79.85%,22327,150,199,18,120,71,49,3,6,68,252,124,128,73,16,76,47,324,0,44,4,1120,2537,5429
 Meghalaya,2013,3.2,75.48%,22429,175,60,40,49,10,39,83,133,160,360,108,252,5,12,34,16,106,0,13,41,355,1669,3720
 Mizoram,2013,1.1,91.58%,21081,46,36,54,8,2,6,5,21,487,1303,57,1246,3,19,60,23,142,0,88,11,1132,3456,8205
 Nagaland,2013,2.1,79.55%,16579,91,34,14,38,3,35,19,92,95,221,37,184,8,3,11,5,48,0,4,41,234,976,2193
